"Delivery Date","Hour Ending","Total Cleared AS - RRSPFR"
"01/30/2023","1","1312.2"
"01/30/2023","2","1313.2"
"01/30/2023","3","1316.1"
"01/30/2023","4","1316"
"01/30/2023","5","1315"
"01/30/2023","6","1315.5"
"01/30/2023","7","1317.1"
"01/30/2023","8","1314.7"
"01/30/2023","9","1313.7"
"01/30/2023","10","1314.5"
"01/30/2023","11","1312.2"
"01/30/2023","12","1313"
"01/30/2023","13","1312.3"
"01/30/2023","14","1311.3"
"01/30/2023","15","1310.5"
"01/30/2023","16","1310.2"
"01/30/2023","17","1310.5"
"01/30/2023","18","1309.5"
"01/30/2023","19","1310.6"
"01/30/2023","20","1312"
"01/30/2023","21","1312.7"
"01/30/2023","22","1312.2"
"01/30/2023","23","1309.5"
"01/30/2023","24","1309.6"
